"","datetime","do.obs","wtr","year","yday","hour","par","baro"
"864",2021-06-05 06:00:00,8.60825,8.44008333333333,2021,156,7,0,79649.26
"865",2021-06-05 07:00:00,8.75716666666667,8.23216666666667,2021,156,8,0,79638.564
"866",2021-06-05 08:00:00,8.8405,8.25625,2021,156,9,0,79643.912
"867",2021-06-05 09:00:00,8.81575,8.8405,2021,156,10,0,79638.564
"868",2021-06-05 10:00:00,8.65425,10.1074166666667,2021,156,11,0,79643.912
"869",2021-06-05 11:00:00,8.38458333333333,11.7126666666667,2021,156,12,0,79659.956
"870",2021-06-05 12:00:00,8.129,13.28575,2021,156,13,0,79638.564
"871",2021-06-05 13:00:00,7.87383333333333,14.63375,2021,156,14,0,79633.216
"872",2021-06-05 14:00:00,7.58366666666667,15.9403333333333,2021,156,15,56,79638.564
"873",2021-06-05 15:00:00,7.41458333333333,16.5669166666667,2021,156,16,237,79627.868
"874",2021-06-05 16:00:00,7.29066666666667,16.8025833333333,2021,156,17,441,79606.482
"875",2021-06-05 17:00:00,7.211,16.7925833333333,2021,156,18,620,79585.094
"876",2021-06-05 18:00:00,7.20566666666667,16.40475,2021,156,19,770,79558.354
"877",2021-06-05 19:00:00,7.25825,15.7511666666667,2021,156,20,818,79547.658
"878",2021-06-05 20:00:00,7.35983333333333,14.8456666666667,2021,156,21,962,79542.31
"879",2021-06-05 21:00:00,7.49183333333333,13.8020833333333,2021,156,22,982,79510.23
"880",2021-06-05 22:00:00,7.67858333333333,12.7434166666667,2021,156,23,946,79472.796
"881",2021-06-05 23:00:00,7.85283333333333,11.82575,2021,156,24,858,79456.754
"882",2021-06-06 00:00:00,8.01008333333333,11.0164166666667,2021,157,1,741,79413.978
"883",2021-06-06 01:00:00,8.15391666666667,10.3090833333333,2021,157,2,394,79440.714
"884",2021-06-06 02:00:00,8.26475,9.74733333333333,2021,157,3,32,79446.062
"885",2021-06-06 03:00:00,8.35558333333333,9.283,2021,157,4,64,79435.37
"886",2021-06-06 04:00:00,8.433,8.89375,2021,157,5,18,79435.368
"887",2021-06-06 05:00:00,8.511,8.53541666666667,2021,157,6,0,79462.1
"888",2021-06-06 06:00:00,8.59616666666667,8.22266666666667,2021,157,7,0,79451.408
"889",2021-06-06 07:00:00,8.76416666666667,8.02883333333333,2021,157,8,0,79462.1
"890",2021-06-06 08:00:00,8.86625,8.06958333333333,2021,157,9,0,79440.714
"891",2021-06-06 09:00:00,8.83275,8.671,2021,157,10,0,79397.934
"892",2021-06-06 10:00:00,8.66583333333333,9.96358333333333,2021,157,11,0,79328.418
"893",2021-06-06 11:00:00,8.36625,11.5591666666667,2021,157,12,0,79301.68
"894",2021-06-06 12:00:00,8.11166666666667,13.2953333333333,2021,157,13,0,79290.988
"895",2021-06-06 13:00:00,7.78716666666667,14.8136666666667,2021,157,14,0,79280.296
"896",2021-06-06 14:00:00,7.52291666666667,15.8770833333333,2021,157,15,57,79264.254
"897",2021-06-06 15:00:00,7.35883333333333,16.47475,2021,157,16,236,79241.525
"898",2021-06-06 16:00:00,7.24241666666667,16.67575,2021,157,17,437,79210.774
"899",2021-06-06 17:00:00,7.18016666666667,16.5825,2021,157,18,635,79178.692
"900",2021-06-06 18:00:00,7.17925,16.207,2021,157,19,800,79168
"901",2021-06-06 19:00:00,7.23775,15.5345833333333,2021,157,20,931,79151.956
"902",2021-06-06 20:00:00,7.33933333333333,14.6465833333333,2021,157,21,1009,79146.608
"903",2021-06-06 21:00:00,7.46658333333333,13.6694166666667,2021,157,22,1028,79151.956
"904",2021-06-06 22:00:00,7.63816666666667,12.6973333333333,2021,157,23,985,79162.65
"905",2021-06-06 23:00:00,7.80983333333333,11.8006666666667,2021,157,24,900,79125.216
"906",2021-06-07 00:00:00,7.95325,11.0599166666667,2021,158,1,765,79114.52
"907",2021-06-07 01:00:00,8.08016666666667,10.40225,2021,158,2,400,79114.52
"908",2021-06-07 02:00:00,8.19108333333333,9.86716666666667,2021,158,3,28,79135.912
"909",2021-06-07 03:00:00,8.28866666666667,9.40533333333333,2021,158,4,62,79167.998
"910",2021-06-07 04:00:00,8.36866666666667,9.00925,2021,158,5,17,79205.426
"911",2021-06-07 05:00:00,8.4455,8.6475,2021,158,6,0,79216.122
"912",2021-06-07 06:00:00,8.53016666666667,8.37275,2021,158,7,0,79237.514
"913",2021-06-07 07:00:00,8.6875,8.2565,2021,158,8,0,79210.776
"914",2021-06-07 08:00:00,8.79441666666667,8.26416666666667,2021,158,9,0,79154.63
"915",2021-06-07 09:00:00,8.893,8.59658333333333,2021,158,10,0,79162.652
"916",2021-06-07 10:00:00,8.77616666666667,9.56725,2021,158,11,0,79189.384
"917",2021-06-07 11:00:00,8.45958333333333,11.0831666666667,2021,158,12,0,79178.692
"918",2021-06-07 12:00:00,8.19766666666667,12.8305833333333,2021,158,13,0,79168
"919",2021-06-07 13:00:00,7.86283333333333,14.3180833333333,2021,158,14,1,79141.26
"920",2021-06-07 14:00:00,7.58275,15.4305,2021,158,15,58,79114.52
"921",2021-06-07 15:00:00,7.40241666666667,16.077,2021,158,16,241,79119.868
"922",2021-06-07 16:00:00,7.29625,16.1219166666667,2021,158,17,450,79119.868
"923",2021-06-07 17:00:00,7.25291666666667,15.8850833333333,2021,158,18,656,79119.868
"924",2021-06-07 18:00:00,7.271,15.4155,2021,158,19,735,79103.828
"925",2021-06-07 19:00:00,7.34433333333333,14.6841666666667,2021,158,20,828,79093.136
"926",2021-06-07 20:00:00,7.45708333333333,13.7608333333333,2021,158,21,1012,79119.87
"927",2021-06-07 21:00:00,7.58891666666667,12.8066666666667,2021,158,22,1033,79119.868
